ID,Nombre del Riesgo,Origen/Causante,Categoría,Impacto,Probabilidad de Riesgo,Prioridad,Mitigación / ¿Cómo se reduce el impacto?,"Solución / Ya sucedió, ¿Qué hacemos?",,
001,No se asegura el financiamiento ,El financiamiento no es aprobado por el cliente con antelación o no se le presenta la propuesta.,Riesgo financiero,4,2,8,Acordando por escrito la aprobación del financiamiento,Ya sucedió. El cliente firmó por escrito la aceptación del financiamiento.,,
002,Enfermedades de miembros,Uno o varios miembros sufren de una deficiencia de salud.,Riesgo del equipo de trabajo,3,3,9,Planeación de sustitución de trabajo y discutir el efecto en las entregas,Acelerar el paso para recuperar el tiempo perdido y evitar contagio.,,
003,Cumplimiento de procesos,Los procesos no se siguen y no se cumple con los requisitos establecidos.,Riesgo del departamento,4,2,8,-,-,,OBJETIVOS 
004,Faltas excesivas de un miembros del grupo,"Falta de compromiso, salud, y emergencias",Riesgo del equipo de trabajo,4,2,8,-,-,,Identificar la visión del Proyecto.
005,Comunicación con cliente deficiente,La interpretación de lo hablado entre el stakeholder y product owner  puede ser erronea.,Riesgo del stakeholder,4,3,12,Siempre que se realicen reuniones con el stakeholder debe estar presente el product owner con un asistente y se deben verificar lo acordado.,Realizar una secion informativa con el stakeholder y todos los miembros para fijar la medida a tomar.,,Formar el equipo inicial.
006,Falta de cumplimiento de entregas,La actividad asignada para la iteración no fue entregada en el tiempo establecido.,Planeamiento,4,2,8,-,-,,Alcanzar un acuerdo con los stakeholders sobre la visión.
007,Implementación de codigo erronea,"Inconsistencia, documentación deficiente, falta de conocimientos y hardcoding.",Construcción,4,3,12,Llevar seguimiento de la implementación de el codigo en  los requisitos funcionales a desarrollar. ,Convcar una reunion para poder buscar la implementación del codigo optima para el requisito. (Refactoring),,Alinear el proyecto con la dirección de la empresa.
008,Compatibilidad de herramientas api,Se encuentra en desarrollo y no existe suficiente documentacion,Arquitectura,3,2,6,-,-,,Identificar la estrategia técnica inicial.
009,Manejo eficiente de inteligencia emocional,"Irregularidades, conflicto personal, y desahogo",Riesgo del equipo de trabajo,3,2,6,-,,,Identificar los requerimientos iniciales.
010,Información no justificada en documentación,"Seguimiento de proceso, no existe evidencia y no se ha investigado.",Riesgo del departamento,4,2,8,-,-,,Planear las entregas del producto.
011,Falta de apoyo de un integrante,Desinteres en consolidacion del departamento.,Riesgo del departamento,2,2,4,-,-,,Preparar el ambiente de trabajo.
012,Cliente con demandas extra para el sistema.,Funciones acordadas son ambiguas.,Riesgo del departamento,4,3,12,Documentacion y acuerdos firmados como evidencia de las actividades que se realizaran.,Llegar a un acuerdo de implementación para satisfacer al cliente y el departamento.,,Asegurar el financiamiento del Proyecto.
013,Intuitividad del interface grafica del sistema.,Ignorar buenas practicas.,Construcción,3,3,9,"Hacer validaciones, encuestas y pruebas con distintos usuarios.",Revisar mejor implementacion de diseño segun criterio de terceros.,,Identificar riesgos.
014,Inconsistencia en registro de prospectos,No se establece un estandar,Riesgo del stakeholder,2,3,6,-,-,,Desarrollar la estrategia inicial de pruebas.
015,Adelanto de actividad sin justificacion ni aviso.,No informa de su avance.,Riesgo del equipo de trabajo,2,3,6,-,-,,
016,Aumento de costos en el despliegue,Cambio en pagos en servicios a contratar para la aplicacion,Riesgo financiero,4,2,8,-,-,,
017,Daños a materiales personales,Accidentes,Riesgo al area de trabajo,3,2,6,-,-,,
018,Perdida del personal clave,Factores externos,Riesgo del departamento,4,2,8,-,-,,
019,Dificultad en toma de decisiones,"Tiempo limitado, inconsitencia y no existe planeación",Riesgo del equipo de trabajo,3,2,6,-,-,,
020,Adaptabilidad a roles cambiantes,Cambio de roles,Riesgo del departamento,3,3,9,Seguir plan de capacitación por miembros anteriores al cargo,Solicitar apoyo de miembros informados en el area.,,
021,Desastres naturales,Factores externos,Riesgo al area de trabajo,5,1,5,-,-,,
022,Falla de servicios para despliegue,Factores en servidores,Despliegue,4,3,12,Revisar documentacion y verificar fechas de mantenimientos.,Contactar a proveedor,,
023,"Falla de servicios basicos (internet, electricidad)",Factores externos,Riesgo al area de trabajo,3,1,3,-,-,,
024,Calificacion de personal baja,Falta de capacitación,Riesgo del equipo de trabajo,3,2,6,-,-,,
025,Rompimiento de acuerdos internos,Falta de compromiso o de seguimiento de planes y/o procesos.,Riesgo del equipo de trabajo,4,2,8,-,-,,
026,Producir software que no satisfaga las necesidades esenciales del cliente,"Falta de seguimiento de los modelos de ingeniería, sin métodos, estructura y/o procesos",Riesgo de la fase de planeación,5,1,5,Asegurar que se sigan los procesos acordados y tener claras y afirmadas las necesidades del cliente. (Que firme los acuerdos),El módulo que no satisface las necesidades del cliente tendrá que hacerse de manera correcta hasta que sea aprobado.,,
027,Conflicto interno por discusión,Oposición de ideas entre miembros del equipo,Riesgo del equipo de trabajo,4,2,8,"Analizar el nivel del conflicto y los temas del mismo, alcanzar una solución basándose en los hechos.",Una vez que se ha llegado a un acuerdo se les pedirá a los miembros del equipo seguir comportandose de manera civilizada.,,
028,Tener un sith en el equipo,"Tener a un integrante del equipo que no acepta su responsabilidad, responde en su defensa aunque esté mal, ofende a los demás, no es conciente del estado del equipo, no cumple con sus deberes como miembro del equipo, no escucha de manera efectiva y/o no sigue los acuerdos establecidos.",Riesgo del equipo de trabajo,5,3,15,"Inculcar en el equipo una cultura de responsabilidad, acordar maneras de comunicación, establecer procesos y planes que el quipo seguirá y comprometerse en el cumplimiento de los mismos. Escuchar y aceptar los errores que comete y actuar al respecto siempre pensando en el bienestar del proyecto.",El integrante sith será ayudado para no ser sith e ir al lado de la luz. Si la oscuridad es muy grande en su corazón y no se deja ayudar será juzgado por la malla.,,
029,Indesicion de stakeholders,Stakeholders tienen varios cambios que llegan a afectar la fecha de entrega del proyecto,Riesgo por parte del cliente,5,5,14,Hablar con ellos para hacerles saber que los cambios se tendrán que sustituir por funcionliadades debido a la cantidad de tiempo restante ya que esto puede poner en riesgo a la fecha de entrega,Hablar con ellos para hacerles saber que los cambios se tendrán que sustituir por funcionliadades debido a la cantidad de tiempo restante ya que esto puede poner en riesgo a la fecha de entrega,,
030,Cambios en el manual de usuario,Debido a cambios en el diseño d ela aplicación es necesario actualizar el manual de usuario,Riesgo del equipo de trabajo,2,4,7,Darles el manual por adelantado para que puedan leerlo y darle validez,Se calucló el impacto de las modificaciones y se ajusto el plan de trabajo para incluirlas,,
031,Cansancio de miembros,Fin de semestre cambia el comportamiento de los miembros de equipo,Riesgo del equipo de trabajo,1,3,6,Tener tiempos de recreacion y utilizar la caja de estres.,El comite de etica intervenga para la motivacion de el miembro.,,
,,,,,,,,,,
MONITOREO,,,,,,,,,,
Fecha,No. de Riesgos totales actuales,No. de riesgos encontrados,No. de riesgos mitigados,No. de riesgos sin seguimiento,,,,,,
17/04/2018,31,3,14,17,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Riegos sucedidos,Evaluación del plan de mitigación ¿Funcionó el plan? Sí/No,En caso de plan fallido: ¿Por qué no sirvió el plan?,,,,,,,,
Enfermedades de miembros,Planeación de sustitución de trabajo y discutir el efecto en las entregas. El miembro enfermo se tomó el día para reposar en casa y realizó sus tasks desde casa.,EL PLAN FUNCIONÓ.,,,,,,,,
Indesicion de stakeholders,Hablar con ellos para hacerles saber que los cambios se tendrán que sustituir por funcionliadades debido a la cantidad de tiempo restante ya que esto puede poner en riesgo a la fecha de entrega,EL PLAN FUNCIONÓ.,,,,,,,,
Cambios en el manual de usuario,Darles el manual por adelantado para que puedan leerlo y darle validez,EL PLAN FUNCIONÓ.,,,,,,,,
Cansancio de miembros,Tener tiempos de recreacion y utilizar la caja de estres.,EL PLAN FUNCIONÓ.,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
